# x y nx ny
6.822401337792642906e-01 1.189935917506347973e+00 8.300405464484027496e-01 -5.577030493476228257e-01
6.956173913043479651e-01 1.209778449451796023e+00 8.282880019286812390e-01 -5.603025841998167111e-01
7.089946488294314175e-01 1.229486768133074559e+00 8.265108049556154635e-01 -5.629208552644150432e-01
7.223719063545150920e-01 1.249060873550184025e+00 8.247085453827828205e-01 -5.655579680038240742e-01
7.357491638795985445e-01 1.268500765703123978e+00 8.228808059393821761e-01 -5.682140258886196893e-01
7.491264214046822190e-01 1.287806444591894861e+00 8.210271621323331770e-01 -5.708891302529127687e-01
7.625036789297658935e-01 1.306977910216496452e+00 8.191471821450504454e-01 -5.735833801495852091e-01
7.758809364548495680e-01 1.326015162576928974e+00 8.172404267386604859e-01 -5.762968721969711217e-01
7.892581939799332424e-01 1.344918201673191760e+00 8.153064491458372753e-01 -5.790297004309937767e-01
8.026354515050166949e-01 1.363687027505285254e+00 8.133447949814418543e-01 -5.817819561284076624e-01
8.160127090301003694e-01 1.382321640073209457e+00 8.113550021391942035e-01 -5.845537276450369912e-01
8.293899665551839329e-01 1.400822039376964590e+00 8.093366006962872117e-01 -5.873451002378231589e-01
8.427672240802676074e-01 1.419188225416550209e+00 8.072891128169856767e-01 -5.901561558834781396e-01
8.561444816053511708e-01 1.437420198191966536e+00 8.052120526628557817e-01 -5.929869730832797448e-01
8.695217391304348453e-01 1.455517957703213572e+00 8.031049263004732541e-01 -5.958376266667886334e-01
8.828989966555184088e-01 1.473481503950291316e+00 8.009672316063890518e-01 -5.987081875945885479e-01
8.962762541806020833e-01 1.491310836933199990e+00 7.987984581811748974e-01 -6.015987227441376151e-01
9.096535117056857578e-01 1.509005956651939151e+00 7.965980872783171574e-01 -6.045092946717415261e-01
9.230307692307690992e-01 1.526566863106508576e+00 7.943655916978090703e-01 -6.074399614172494299e-01
9.364080267558528847e-01 1.543993556296909375e+00 7.921004357303205179e-01 -6.103907762375151425e-01
9.497852842809364482e-01 1.561286036223140661e+00 7.898020750663142797e-01 -6.133617873824093181e-01
9.631625418060201227e-01 1.578444302885202655e+00 7.874699567351064466e-01 -6.163530378278421207e-01
9.765397993311036862e-01 1.595468356283095357e+00 7.851035190254569418e-01 -6.193645650292274318e-01
9.899170568561874717e-01 1.612358196416818767e+00 7.827021914343791353e-01 -6.223964006353350786e-01
1.003294314381270924e+00 1.629113823286372664e+00 7.802653946025859266e-01 -6.254485702163454786e-01
1.016671571906354599e+00 1.645735236891757491e+00 7.777925402654682907e-01 -6.285210929693528792e-01
1.030048829431438051e+00 1.662222437232972805e+00 7.752830311957740195e-01 -6.316139814316118484e-01
1.043426086956521726e+00 1.678575424310018605e+00 7.727362611732278008e-01 -6.347272411579805151e-01
1.056803344481605400e+00 1.694794198122895779e+00 7.701516149442992898e-01 -6.378608704088123416e-01
1.070180602006689075e+00 1.710878758671603217e+00 7.675284682012020188e-01 -6.410148598127163311e-01
1.083557859531772527e+00 1.726829105956141364e+00 7.648661875442421820e-01 -6.441891920480630196e-01
1.096935117056856202e+00 1.742645239976510219e+00 7.621641304909736458e-01 -6.473838414672845598e-01
1.110312374581939876e+00 1.758327160732710004e+00 7.594216454639833858e-01 -6.505987737467509024e-01
1.123689632107023328e+00 1.773874868224740053e+00 7.566380717814594759e-01 -6.538339455326824812e-01
1.137066889632107003e+00 1.789288362452601255e+00 7.538127397000436991e-01 -6.570893040264116358e-01
1.150444147157190677e+00 1.804567643416292944e+00 7.509449704168270623e-01 -6.603647866184798598e-01
1.163821404682274352e+00 1.819712711115815340e+00 7.480340761266244254e-01 -6.636603204602391504e-01
1.177198662207358026e+00 1.834723565551168445e+00 7.450793600482039647e-01 -6.669758220731534237e-01
1.190575919732441479e+00 1.849600206722352258e+00 7.420801164964205832e-01 -6.703111969083156430e-01
1.203953177257525375e+00 1.864342634629366779e+00 7.390356309588063111e-01 -6.736663389047421457e-01
1.217330434782608606e+00 1.878950849272211565e+00 7.359451801814700378e-01 -6.770411300413465838e-01
1.230707692307692280e+00 1.893424850650887725e+00 7.328080322721927109e-01 -6.804354398746121912e-01
1.244084949832775955e+00 1.907764638765394150e+00 7.296234468060990297e-01 -6.838491250786152831e-01
1.257462207357859629e+00 1.921970213615731504e+00 7.263906749852413469e-01 -6.872820289331633692e-01
1.270839464882943304e+00 1.936041575201899345e+00 7.231089597604063446e-01 -6.907339808596526520e-01
1.284216722408026978e+00 1.949978723523898116e+00 7.197775360299524250e-01 -6.942047958827786136e-01
1.297593979933110431e+00 1.963781658581727374e+00 7.163956308073575752e-01 -6.976942741345438792e-01
1.310971237458193883e+00 1.977450380375387340e+00 7.129624634379564396e-01 -7.012022003163429495e-01
1.324348494983277558e+00 1.990984888904878014e+00 7.094772458345047772e-01 -7.047283431529383080e-01
1.337725752508361232e+00 2.004385184170199619e+00 7.059391827181314971e-01 -7.082724548528318564e-01
