# x y
0.000000000000000000e+00 0.000000000000000000e+00
1.337725752508361378e-02 2.668740841808257477e-02
2.675451505016721368e-02 5.324060357199582316e-02
4.013177257525082919e-02 7.965958546173979027e-02
5.350903010033445512e-02 1.059443540873144657e-01
6.688628762541806716e-02 1.320949094487198217e-01
8.026354515050167227e-02 1.581112515459558443e-01
9.364080267558529125e-02 1.839933803790226030e-01
1.070180602006688964e-01 2.097412959479200423e-01
1.203953177257525292e-01 2.353549982526482176e-01
1.337725752508361066e-01 2.608344872932070180e-01
1.471498327759197255e-01 2.861797630695965267e-01
1.605270903010033723e-01 3.113908255818167992e-01
1.739043478260869635e-01 3.364676748298677245e-01
1.872816053511705825e-01 3.614103108137493026e-01
2.006588628762542015e-01 3.862187335334616445e-01
2.140361204013377927e-01 4.108929429890046392e-01
2.274133779264213839e-01 4.354329391803782867e-01
2.407906354515050029e-01 4.598387221075826981e-01
2.541678929765887052e-01 4.841102917706178732e-01
2.675451505016722131e-01 5.082476481694835346e-01
2.809224080267558321e-01 5.322507913041800709e-01
2.942996655518394511e-01 5.561197211747072044e-01
3.076769230769230701e-01 5.798544377810651573e-01
3.210541806020066891e-01 6.034549411232537075e-01
3.344314381270903080e-01 6.269212312012728550e-01
3.478086956521739825e-01 6.502533080151229328e-01
3.611859531772575460e-01 6.734511715648034968e-01
3.745632107023411095e-01 6.965148218503147692e-01
3.879404682274247840e-01 7.194442588716569720e-01
4.013177257525084030e-01 7.422394826288296610e-01
4.146949832775920219e-01 7.649004931218331693e-01
4.280722408026756409e-01 7.874272903506673860e-01
4.414494983277592599e-01 8.098198743153320889e-01
4.548267558528428234e-01 8.320782450158276111e-01
4.682040133779264979e-01 8.542024024521538417e-01
4.815812709030101169e-01 8.761923466243108916e-01
4.949585284280936248e-01 8.980480775322983167e-01
5.083357859531774103e-01 9.197695951761167832e-01
5.217130434782608628e-01 9.413568995557655139e-01
5.350903010033445373e-01 9.628099906712453970e-01
5.484675585284281008e-01 9.841288685225557664e-01
5.618448160535116642e-01 1.005313533109696733e+00
5.752220735785953387e-01 1.026363984432668630e+00
5.885993311036789022e-01 1.047280222491471013e+00
6.019765886287626877e-01 1.068062247286104327e+00
6.153538461538461402e-01 1.088710058816567905e+00
6.287311036789298146e-01 1.109223657082862635e+00
6.421083612040134891e-01 1.129603042084987852e+00
6.554856187290969416e-01 1.149848213822943777e+00
6.688628762541805051e-01 1.169959172296730410e+00
6.822401337792642906e-01 1.189935917506347973e+00
6.956173913043479651e-01 1.209778449451796023e+00
7.089946488294314175e-01 1.229486768133074559e+00
7.223719063545150920e-01 1.249060873550184025e+00
7.357491638795985445e-01 1.268500765703123978e+00
7.491264214046822190e-01 1.287806444591894861e+00
7.625036789297658935e-01 1.306977910216496452e+00
7.758809364548495680e-01 1.326015162576928974e+00
7.892581939799332424e-01 1.344918201673191760e+00
8.026354515050166949e-01 1.363687027505285254e+00
8.160127090301003694e-01 1.382321640073209457e+00
8.293899665551839329e-01 1.400822039376964590e+00
8.427672240802676074e-01 1.419188225416550209e+00
8.561444816053511708e-01 1.437420198191966536e+00
8.695217391304348453e-01 1.455517957703213572e+00
8.828989966555184088e-01 1.473481503950291316e+00
8.962762541806020833e-01 1.491310836933199990e+00
9.096535117056857578e-01 1.509005956651939151e+00
9.230307692307690992e-01 1.526566863106508576e+00
9.364080267558528847e-01 1.543993556296909375e+00
9.497852842809364482e-01 1.561286036223140661e+00
9.631625418060201227e-01 1.578444302885202655e+00
9.765397993311036862e-01 1.595468356283095357e+00
9.899170568561874717e-01 1.612358196416818767e+00
1.003294314381270924e+00 1.629113823286372664e+00
1.016671571906354599e+00 1.645735236891757491e+00
1.030048829431438051e+00 1.662222437232972805e+00
1.043426086956521726e+00 1.678575424310018605e+00
1.056803344481605400e+00 1.694794198122895779e+00
1.070180602006689075e+00 1.710878758671603217e+00
1.083557859531772527e+00 1.726829105956141364e+00
1.096935117056856202e+00 1.742645239976510219e+00
1.110312374581939876e+00 1.758327160732710004e+00
1.123689632107023328e+00 1.773874868224740053e+00
