0.00000000 0.00000000 0.00000000
0.00000000 0.05128205 0.02498356
0.00000000 0.10256410 0.04865220
0.00000000 0.15384615 0.07100592
0.00000000 0.20512821 0.09204471
0.00000000 0.25641026 0.11176857
0.00000000 0.30769231 0.13017751
0.00000000 0.35897436 0.14727153
0.00000000 0.41025641 0.16305062
0.00000000 0.46153846 0.17751479
0.00000000 0.51282051 0.19066404
0.00000000 0.56410256 0.20249836
0.00000000 0.61538462 0.21301775
0.00000000 0.66666667 0.22222222
0.00000000 0.71794872 0.23011177
0.00000000 0.76923077 0.23668639
0.00000000 0.82051282 0.24194609
0.00000000 0.87179487 0.24589086
0.00000000 0.92307692 0.24852071
0.00000000 0.97435897 0.24983563
0.00000000 1.02564103 0.24983563
0.00000000 1.07692308 0.24852071
0.00000000 1.12820513 0.24589086
0.00000000 1.17948718 0.24194609
0.00000000 1.23076923 0.23668639
0.00000000 1.28205128 0.23011177
0.00000000 1.33333333 0.22222222
0.00000000 1.38461538 0.21301775
0.00000000 1.43589744 0.20249836
0.00000000 1.48717949 0.19066404
0.00000000 1.53846154 0.17751479
0.00000000 1.58974359 0.16305062
0.00000000 1.64102564 0.14727153
0.00000000 1.69230769 0.13017751
0.00000000 1.74358974 0.11176857
0.00000000 1.79487179 0.09204471
0.00000000 1.84615385 0.07100592
0.00000000 1.89743590 0.04865220
0.00000000 1.94871795 0.02498356
0.00000000 2.00000000 0.00000000
nan nan nan
0.05128205 0.00000000 0.04996713
0.05128205 0.05128205 0.07619905
0.05128205 0.10256410 0.10105034
0.05128205 0.15384615 0.12452101
0.05128205 0.20512821 0.14661104
0.05128205 0.25641026 0.16732045
0.05128205 0.30769231 0.18664924
0.05128205 0.35897436 0.20459739
0.05128205 0.41025641 0.22116492
0.05128205 0.46153846 0.23635182
0.05128205 0.51282051 0.25015810
0.05128205 0.56410256 0.26258374
0.05128205 0.61538462 0.27362876
0.05128205 0.66666667 0.28329316
0.05128205 0.71794872 0.29157692
0.05128205 0.76923077 0.29848006
0.05128205 0.82051282 0.30400257
0.05128205 0.87179487 0.30814445
0.05128205 0.92307692 0.31090570
0.05128205 0.97435897 0.31228633
0.05128205 1.02564103 0.31228633
0.05128205 1.07692308 0.31090570
0.05128205 1.12820513 0.30814445
0.05128205 1.17948718 0.30400257
0.05128205 1.23076923 0.29848006
0.05128205 1.28205128 0.29157692
0.05128205 1.33333333 0.28329316
0.05128205 1.38461538 0.27362876
0.05128205 1.43589744 0.26258374
0.05128205 1.48717949 0.25015810
0.05128205 1.53846154 0.23635182
0.05128205 1.58974359 0.22116492
0.05128205 1.64102564 0.20459739
0.05128205 1.69230769 0.18664924
0.05128205 1.74358974 0.16732045
0.05128205 1.79487179 0.14661104
0.05128205 1.84615385 0.12452101
0.05128205 1.89743590 0.10105034
0.05128205 1.94871795 0.07619905
0.05128205 2.00000000 0.04996713
nan nan nan
0.10256410 0.00000000 0.09730440
0.10256410 0.05128205 0.12471898
0.10256410 0.10256410 0.15069068
0.10256410 0.15384615 0.17521951
0.10256410 0.20512821 0.19830547
0.10256410 0.25641026 0.21994855
0.10256410 0.30769231 0.24014877
0.10256410 0.35897436 0.25890611
0.10256410 0.41025641 0.27622057
0.10256410 0.46153846 0.29209217
0.10256410 0.51282051 0.30652089
0.10256410 0.56410256 0.31950674
0.10256410 0.61538462 0.33104972
0.10256410 0.66666667 0.34114983
0.10256410 0.71794872 0.34980706
0.10256410 0.76923077 0.35702142
0.10256410 0.82051282 0.36279291
0.10256410 0.87179487 0.36712153
0.10256410 0.92307692 0.37000727
0.10256410 0.97435897 0.37145015
0.10256410 1.02564103 0.37145015
0.10256410 1.07692308 0.37000727
0.10256410 1.12820513 0.36712153
0.10256410 1.17948718 0.36279291
0.10256410 1.23076923 0.35702142
0.10256410 1.28205128 0.34980706
0.10256410 1.33333333 0.34114983
0.10256410 1.38461538 0.33104972
0.10256410 1.43589744 0.31950674
0.10256410 1.48717949 0.30652089
0.10256410 1.53846154 0.29209217
0.10256410 1.58974359 0.27622057
0.10256410 1.64102564 0.25890611
0.10256410 1.69230769 0.24014877
0.10256410 1.74358974 0.21994855
0.10256410 1.79487179 0.19830547
0.10256410 1.84615385 0.17521951
0.10256410 1.89743590 0.15069068
0.10256410 1.94871795 0.12471898
0.10256410 2.00000000 0.09730440
nan nan nan
0.15384615 0.00000000 0.14201183
0.15384615 0.05128205 0.17054336
0.15384615 0.10256410 0.19757323
0.15384615 0.15384615 0.22310143
0.15384615 0.20512821 0.24712798
0.15384615 0.25641026 0.26965287
0.15384615 0.30769231 0.29067610
0.15384615 0.35897436 0.31019767
0.15384615 0.41025641 0.32821758
0.15384615 0.46153846 0.34473583
0.15384615 0.51282051 0.35975242
0.15384615 0.56410256 0.37326735
0.15384615 0.61538462 0.38528063
0.15384615 0.66666667 0.39579224
0.15384615 0.71794872 0.40480220
0.15384615 0.76923077 0.41231049
0.15384615 0.82051282 0.41831713
0.15384615 0.87179487 0.42282211
0.15384615 0.92307692 0.42582543
0.15384615 0.97435897 0.42732709
0.15384615 1.02564103 0.42732709
0.15384615 1.07692308 0.42582543
0.15384615 1.12820513 0.42282211
0.15384615 1.17948718 0.41831713
0.15384615 1.23076923 0.41231049
0.15384615 1.28205128 0.40480220
0.15384615 1.33333333 0.39579224
0.15384615 1.38461538 0.38528063
0.15384615 1.43589744 0.37326735
0.15384615 1.48717949 0.35975242
0.15384615 1.53846154 0.34473583
0.15384615 1.58974359 0.32821758
0.15384615 1.64102564 0.31019767
0.15384615 1.69230769 0.29067610
0.15384615 1.74358974 0.26965287
0.15384615 1.79487179 0.24712798
0.15384615 1.84615385 0.22310143
0.15384615 1.89743590 0.19757323
0.15384615 1.94871795 0.17054336
0.15384615 2.00000000 0.14201183
nan nan nan
0.20512821 0.00000000 0.18408941
0.20512821 0.05128205 0.21367219
0.20512821 0.10256410 0.24169797
0.20512821 0.15384615 0.26816677
0.20512821 0.20512821 0.29307858
0.20512821 0.25641026 0.31643340
0.20512821 0.30769231 0.33823123
0.20512821 0.35897436 0.35847208
0.20512821 0.41025641 0.37715593
0.20512821 0.46153846 0.39428280
0.20512821 0.51282051 0.40985268
0.20512821 0.56410256 0.42386558
0.20512821 0.61538462 0.43632148
0.20512821 0.66666667 0.44722040
0.20512821 0.71794872 0.45656232
0.20512821 0.76923077 0.46434726
0.20512821 0.82051282 0.47057522
0.20512821 0.87179487 0.47524618
0.20512821 0.92307692 0.47836016
0.20512821 0.97435897 0.47991715
0.20512821 1.02564103 0.47991715
0.20512821 1.07692308 0.47836016
0.20512821 1.12820513 0.47524618
0.20512821 1.17948718 0.47057522
0.20512821 1.23076923 0.46434726
0.20512821 1.28205128 0.45656232
0.20512821 1.33333333 0.44722040
0.20512821 1.38461538 0.43632148
0.20512821 1.43589744 0.42386558
0.20512821 1.48717949 0.40985268
0.20512821 1.53846154 0.39428280
0.20512821 1.58974359 0.37715593
0.20512821 1.64102564 0.35847208
0.20512821 1.69230769 0.33823123
0.20512821 1.74358974 0.31643340
0.20512821 1.79487179 0.29307858
0.20512821 1.84615385 0.26816677
0.20512821 1.89743590 0.24169797
0.20512821 1.94871795 0.21367219
0.20512821 2.00000000 0.18408941
nan nan nan
0.25641026 0.00000000 0.22353715
0.25641026 0.05128205 0.25410546
0.25641026 0.10256410 0.28306492
0.25641026 0.15384615 0.31041552
0.25641026 0.20512821 0.33615727
0.25641026 0.25641026 0.36029015
0.25641026 0.30769231 0.38281417
0.25641026 0.35897436 0.40372934
0.25641026 0.41025641 0.42303564
0.25641026 0.46153846 0.44073309
0.25641026 0.51282051 0.45682168
0.25641026 0.56410256 0.47130141
0.25641026 0.61538462 0.48417228
0.25641026 0.66666667 0.49543429
0.25641026 0.71794872 0.50508744
0.25641026 0.76923077 0.51313174
0.25641026 0.82051282 0.51956717
0.25641026 0.87179487 0.52439375
0.25641026 0.92307692 0.52761147
0.25641026 0.97435897 0.52922033
0.25641026 1.02564103 0.52922033
0.25641026 1.07692308 0.52761147
0.25641026 1.12820513 0.52439375
0.25641026 1.17948718 0.51956717
0.25641026 1.23076923 0.51313174
0.25641026 1.28205128 0.50508744
0.25641026 1.33333333 0.49543429
0.25641026 1.38461538 0.48417228
0.25641026 1.43589744 0.47130141
0.25641026 1.48717949 0.45682168
0.25641026 1.53846154 0.44073309
0.25641026 1.58974359 0.42303564
0.25641026 1.64102564 0.40372934
0.25641026 1.69230769 0.38281417
0.25641026 1.74358974 0.36029015
0.25641026 1.79487179 0.33615727
0.25641026 1.84615385 0.31041552
0.25641026 1.89743590 0.28306492
0.25641026 1.94871795 0.25410546
0.25641026 2.00000000 0.22353715
nan nan nan
0.30769231 0.00000000 0.26035503
0.30769231 0.05128205 0.29184319
0.30769231 0.10256410 0.32167408
0.30769231 0.15384615 0.34984769
0.30769231 0.20512821 0.37636404
0.30769231 0.25641026 0.40122311
0.30769231 0.30769231 0.42442492
0.30769231 0.35897436 0.44596945
0.30769231 0.41025641 0.46585670
0.30769231 0.46153846 0.48408669
0.30769231 0.51282051 0.50065941
0.30769231 0.56410256 0.51557485
0.30769231 0.61538462 0.52883302
0.30769231 0.66666667 0.54043393
0.30769231 0.71794872 0.55037755
0.30769231 0.76923077 0.55866391
0.30769231 0.82051282 0.56529300
0.30769231 0.87179487 0.57026481
0.30769231 0.92307692 0.57357936
0.30769231 0.97435897 0.57523663
0.30769231 1.02564103 0.57523663
0.30769231 1.07692308 0.57357936
0.30769231 1.12820513 0.57026481
0.30769231 1.17948718 0.56529300
0.30769231 1.23076923 0.55866391
0.30769231 1.28205128 0.55037755
0.30769231 1.33333333 0.54043393
0.30769231 1.38461538 0.52883302
0.30769231 1.43589744 0.51557485
0.30769231 1.48717949 0.50065941
0.30769231 1.53846154 0.48408669
0.30769231 1.58974359 0.46585670
0.30769231 1.64102564 0.44596945
0.30769231 1.69230769 0.42442492
0.30769231 1.74358974 0.40122311
0.30769231 1.79487179 0.37636404
0.30769231 1.84615385 0.34984769
0.30769231 1.89743590 0.32167408
0.30769231 1.94871795 0.29184319
0.30769231 2.00000000 0.26035503
nan nan nan
0.35897436 0.00000000 0.29454306
0.35897436 0.05128205 0.32688536
0.35897436 0.10256410 0.35752544
